area,name,pricetotal,priceunit
188.64平米,弘善家园 满五唯一 看房方便 交通便利,333万,46922元/平米
188.64平米,高层，视野宽阔，无遮挡，满五唯一,1025万,46486元/平米
188.64平米,民航总局家属楼 满五年 大客厅 东西通透,1020万,79242元/平米
188.64平米,日不落首层阳光层，多13平满五年唯一高层视野好,698万,65893元/平米
188.64平米,华威西里 2室1厅 东南,419万,65520元/平米
188.64平米,客厅4.6米挑高 南向阳光客厅 满五年在京唯一住房,1460万,80882元/平米
188.64平米,富力阳光美园，两居，无遮挡采光视野好,388万,50746元/平米
53.9平米,西单 南北通透 两居 交通便利,720万,117074元/平米
53.9平米,西城广安门 荣丰上下两层 满五年 70年产权 民水民电,393万,138186元/平米
53.9平米,全明格局一居室，小区环境优美，配套完善,585万,133868元/平米
53.9平米,教场口6号院2003年小区，满五唯一住宅，业主诚心出售,772万,140954元/平米
53.9平米,教场口9号院优质两居室，看房方便,805万,110577元/平米
53.9平米,塔院胡同12号院 南北朝向  精装两居室,738万,128125元/平米
56.33平米,东城区 2001年电梯房 两室一厅 满五唯一,570万,62004元/平米
56.33平米,水上华城  高层南向 视野好 安静  小户型 带燃气,540万,104187元/平米
56.33平米,前门东大街  电梯直达 朝南两室  满五年唯一,489万,94220元/平米
56.33平米,火桥北里 龙潭湖公园 正规两居室  更实用,422万,76201元/平米
56.33平米,龙潭北里   中间楼层   南北通透   三居三居室,525万,93767元/平米
56.33平米,东城一环旁，常闻天坛声，天安门旁04年的住宅小区,355万,99692元/平米
58.1平米,世纪金源国际公寓通透四居室 70年住宅 圆弧窗 观景好,1460万,59401元/平米
58.1平米,满五年不唯一 高楼层  视野好采光足,753万,70480元/平米
58.1平米,泽丰苑一期南北三居 诚心出售 看房随时,899万,72806元/平米
58.1平米,5层，南北向，适合贷款，诚意出售,660万,147223元/平米
58.1平米,8层的板楼电梯房 满五年唯一 视野开阔，中间楼层,535万,58298元/平米
58.1平米,万泉庄1号院三居室 客厅带阳台  随时看房,688万,98090元/平米
58.1平米,南北通透两居室 高楼层采光视野俱佳 诚意出售,415万,71800元/平米
58.1平米,雅世合金公寓2011年纯商品房 双卧朝南 餐客分离,828万,89311元/平米
58.1平米,西钓鱼台嘉园 视野好 可观西山,2180万,101870元/平米
58.1平米,西三环昆玉河别墅小区顶层复式临河观西山面积有惊喜,1850万,88943元/平米
58.1平米,西山华府 平层4居室 东南西北采光 装修好 随时看,2399万,89609元/平米
43.95平米,东城房本 带电梯中高层两居 林业局管理好,643万,105152元/平米
43.95平米,地安门  帽儿胡同 央产房管理 房本满5年 朝南向两居室,648万,145749元/平米
43.95平米,此房满五年北京就一套住房，东西向通透，采光棒,407万,75024元/平米
43.95平米,安交满五商品房，电梯直达，精装修，带地下车位,903万,128633元/平米
43.95平米,广渠家园东南角，通透敞亮南向三居,738万,93324元/平米
83.85平米,中海城南北两居 满五唯一  诚心出售,725万,74750元/平米
83.85平米,北工大 松榆东里一居室中间楼层,290万,61624元/平米
83.85平米,润枫水尚西区 精装南北两居 满五年唯一看房方便,780万,74138元/平米
83.85平米,保利主打三居 中高层 视野好 采光好,1545万,115127元/平米
83.85平米,广渠门外大街满五年唯一带电梯精装修两居室,388万,63964元/平米
83.85平米,安慧北里逸园南北通透三居室户型方正采光良好,695万,85068元/平米
188.64平米,富力城D区 高层 南北三居 通透性好 明卫,1600万,101433元/平米
188.64平米,欧陆经典 东南三居室，层高3米，满五唯一，诚意出售,855万,80729元/平米
188.64平米,【优选好房】商品房 商品房 商品房 小区中间不临街,408万,46009元/平米
188.64平米,近奥森公园 满五唯一 不临街 居住安静 四居室,1550万,84960元/平米
188.64平米,满五年 公 房、产权清晰、正规两室一厅、安静不临街,308万,52813元/平米
188.64平米,泛海国际碧海园+270度观景+南向可观国贸,1700万,94920元/平米
53.9平米,核工业部小区 月坛公园旁 90年电梯直达 满五年住房,760万,127732元/平米
53.9平米,2003年小区，高楼层，视野好，无遮挡,696万,83866元/平米
53.9平米,满五年且业主家庭名下唯一住房，南北通透业主诚心出售,545万,133644元/平米
53.9平米,三里河三区，双南向两居室，室内光线明亮，阳光充足,778万,115602元/平米
53.9平米,考拉社区  2008年商品房 全南两居室,799万,95176元/平米
53.9平米,长椿街 感化胡同3号院 南北通透两居室 低层无遮挡,710万,113365元/平米
56.33平米,新景家园满五唯一全南精装一居户型方正采光充足无遮挡,610万,100379元/平米
56.33平米,地坛北里 中间楼层 两居室 带客厅,551万,98587元/平米
56.33平米,金世纪嘉园  中高层数 视野好,598万,76716元/平米
56.33平米,二环内 满五唯一 高楼层视野好 户型方正双阳台,635万,90676元/平米
56.33平米,东城区 2009年商品房小区 开发商的精装修 正规两居室,498万,62650元/平米
56.33平米,西营房  带电梯 高楼层 西南两居室 看房方便,886万,98807元/平米
58.1平米,四区2016年交房  双明卫三居室 人车分流通透户型,998万,75395元/平米
58.1平米,柳林馆科技部的物业管理 不临街3居室 产权清晰,695万,115258元/平米
58.1平米,商品房望山园，大厅双卧朝南三居，满五年唯一！空置,1250万,89006元/平米
58.1平米,满五年央产房 朝南三居 视野好 户型棒,1210万,117022元/平米
58.1平米,五道口、大学内、中间层两居、无遮挡、诚意出售！,555万,90820元/平米
58.1平米,林语公馆南北通透大三居，满五唯一，业主诚意出售，,695万,47279元/平米
58.1平米,五道口成府公馆 板楼有电梯 南北通透,1130万,107979元/平米
58.1平米,公主坟，翠微路20号 南北两居室，中间楼层,510万,87780元/平米
58.1平米,海淀产权，南向两居室，精装修，视野采光好,416万,57285元/平米
58.1平米,南向一居室，满五唯一 ，采光好，无遮挡，中间层,348万,73854元/平米
58.1平米,景王坟 钓鱼台国宾馆管理 优质房源,399万,115152元/平米
58.1平米,上地南北两居室，距离城铁858米,816万,137606元/平米
43.95平米,商品房品质，回迁房房价，一梯三户，次顶层，全明格局,525万,92300元/平米
43.95平米,朝阳门内 西水井胡同两居室 满五唯一,660万,88059元/平米
43.95平米,带车位 新景家园南北两居 诚意出售 看房随时,740万,97600元/平米
43.95平米,安交 花园胡同 通透两居 中间层 满五年家庭唯一住房,630万,112581元/平米
43.95平米,全凸2居，随时看，明厨明卫，对小区花园，有车位,1000万,102977元/平米
43.95平米,金桥国际高层朝南正规一居室观景房,528万,79399元/平米
83.85平米,东西通透，视野开阔，楼层佳，无遮挡，交通便利,396万,55416元/平米
83.85平米,光辉里小区精装东南一居室采光好,349万,76924元/平米
83.85平米,直说吧！澳洲康都低板里的观景两居室！这就是您想要的,675万,87720元/平米
83.85平米,东四环朝阳公园南北通透三居室 双卧朝南 采光好视野好,980万,72609元/平米
83.85平米,世茂奥临花园  南北三居室  直观奥森,1385万,79786元/平米
188.64平米,満五年唯一，近地铁，小区管理好，中间楼层没有遮挡,650万,86621元/平米
188.64平米,富力阳光美园 东南正规中间层3居 正对体育公园 有钥匙,499万,56423元/平米
188.64平米,后现代城正规南向两居室！楼层高视野好,585万,65879元/平米
188.64平米,望京新城 高层大两居 西南向 满五年唯一 无遮挡,630万,59139元/平米
188.64平米,保利中央公园 新上三居 3+1 位置安静不临街,1600万,119226元/平米
188.64平米,望京西园二区3居室  松下彩管宿舍楼  独立管理,675万,64557元/平米
53.9平米,西城 荣丰2008  满五年住房  正南向楼层高视野好,436万,133293元/平米
53.9平米,灵境胡同东斜街南北通透三居室无遮挡,975万,124681元/平米
53.9平米,南露园 国开行 正规一室 看房方便,595万,88279元/平米
53.9平米,二环内陶然亭；陶然亭公园友谊医院；3层精装南向一居,410万,109451元/平米
53.9平米,满五年 楼层高采光好，交通便利。,430万,80209元/平米
58.1平米,新硅谷2号院  中间层采光无遮挡,649万,74231元/平米
58.1平米,西直门明光村双南两居+双阳台+不临街+高楼层+无遮挡,599万,85207元/平米
43.95平米,此房为商品房满五唯一，可贷可全款,680万,100577元/平米
43.95平米,满五唯一，有电梯，层高2.9米，南北通透采光好。,635万,112829元/平米
43.95平米,和平里七区 南北通透3居室 满五年央产房,715万,102642元/平米
43.95平米,东城 永定门 中间层 满五年房改房 1992年,403万,65636元/平米
43.95平米,东城区  小两居室  诚心出售,375万,61315元/平米
43.95平米,东后河沿南北通透两居室，中间楼层，客厅主卧室朝南,710万,98311元/平米
83.85平米,汇鸿家园 东南两居室 中高楼层 装修很好 配套齐全,370万,52201元/平米
34.53平米,西城荣丰复式 地铁7号线达官营站 楼层高 视野好,436万,126268元/平米
188.64平米,上林世家 人车分流 南北向 有产权车位,2080万,99632元/平米
188.64平米,此房满5年唯一，小区中间楼栋，不临街，视野无遮挡,885万,59685元/平米
188.64平米,满五唯一  高楼层无遮挡   精装修  拎包入住,899万,73013元/平米
188.64平米,光熙门北里三元桥大客厅20米高楼层采光好,555万,85464元/平米
53.9平米,西城 广安门 马连道 精装一室一厅 满五年唯一,499万,77630元/平米
34.53平米,新文化街必看好房，满五唯一央产,1130万,147520元/平米
34.53平米,较为宿舍 没有遮挡 满五年唯一 随时看房,628万,88952元/平米
34.53平米,长椿街西里 诚心出售 采光充足 随时签约,459万,109208元/平米
34.53平米,高楼层，户型方正，采光视野好，挑高3.15米,785万,76788元/平米
34.53平米,西城晶华 业主免费会所 游泳池 地下车库,1018万,138939元/平米
34.53平米,西城区 广安门 三期复式 精装修 业主诚意出售,489万,140679元/平米
34.53平米,西城区 二环内 建功南里 封闭式小区 楼龄新,455万,94713元/平米
34.53平米,南北通透 中间楼层 全明格局 没有遮挡,490万,84121元/平米
34.53平米,新上北向复式，诚心出售，楼层高，视野好。,400万,142096元/平米
34.53平米,红莲北里，南北通透，楼层2层，地铁7号线，看房方便,510万,88758元/平米
34.53平米,六铺炕一区  业主诚心出售 随时签约 有钥匙看房方便,900万,143085元/平米
34.53平米,西城  新风北里 南向两居 天然氧吧 近公园,788万,156350元/平米
34.53平米,什刹海 松树街39号院 东南朝向两居 视野好,660万,129412元/平米
34.53平米,南北通透两居室，中间楼层。精装修，采光好。,860万,149566元/平米
34.53平米,空户口，有钥匙，楼龄新，带电梯，下楼50米公园,799万,106053元/平米
34.53平米,西城  椿树馆  低单价  南北通透大两居,540万,73380元/平米
34.53平米,西单和平门小区 南北通透两居室，低楼层，无遮挡，,799万,116219元/平米
34.53平米,西城区马连道北欧印象一居室，精装修。,415万,86821元/平米
34.53平米,西城区 红莲南里 全南向 两居室 采光好 带电梯,510万,87871元/平米
34.53平米,月坛西街东里21号院 南向两居室,620万,123016元/平米
34.53平米,平原里小区 2室1厅 南 北,599万,95948元/平米
34.53平米,大观园公园隔壁 全南向满五唯一1居室,490万,109915元/平米
34.53平米,1990年钢混结构  正规朝南的一居室   视野采光好,585万,134483元/平米
34.53平米,西城区 二环里 满五年不唯一成本价 电梯直达,498万,82876元/平米
34.53平米,西城区广安门13年玺源台小区朝东一居室，朝向院里,658万,103934元/平米
34.53平米,西二环西城区带电梯2004年房环境好看房方便,516万,64760元/平米
34.53平米,西二环 低价 靠谱签约 看房基本随时,410万,36468元/平米
34.53平米,西二环 广安门 天宁寺东里 南向一居室,399万,88786元/平米
34.53平米,西城区西二环正规南北通透大两居看房方便,649万,79838元/平米
134.42平米,此房满五唯一，中间层，楼间距大，视野开阔，采光好,1420万,105640元/平米
134.42平米,海淀南路 南北向带电梯板楼三室一厅,789万,101938元/平米
134.42平米,人济山庄 东南向 三居室 采光好,1300万,81818元/平米
134.42平米,西直门 交大西门 2004年 商品房社区,1260万,85972元/平米
134.42平米,橡胶院小区 东西两居 满五唯一 低层 停车方便,385万,64167元/平米
134.42平米,南北通透，小区楼龄新，配套齐全，交通便利,917万,72900元/平米
134.42平米,建设部大院 满五年唯一 小区中间 看房方便,1120万,100144元/平米
68.81平米,城市花园 融城  满五年唯一精装修 人车分流,700万,101730元/平米
134.42平米,玫瑰御园南北精装三居 小区小而精致,1665万,105554元/平米
134.42平米,精装修三居室，南北通透，高楼层，采光好。,1050万,78254元/平米
134.42平米,通用家属楼，南北向明厅，板楼，小南庄满五年,945万,104420元/平米
134.42平米,紫竹院公园 正规三室一厅 楼龄新 安静宜居,829万,89438元/平米
134.42平米,今日家园 满五年  东南朝向  格局好  看房随时,858万,72985元/平米
68.81平米,广安门电梯一居室  精装修  位置好  随时看房,515万,101100元/平米
68.81平米,双南向两居，采光好，适合居住，看房方便,738万,117892元/平米
68.81平米,此房地理位置优越，交通很便利。,798万,100088元/平米
68.81平米,西城区二环内 白纸坊桥东北角 东西两居室 采光通风好,575万,81549元/平米
68.81平米,马连道 南北板楼三居室 满五年唯一,558万,78993元/平米
134.42平米,太月园中间楼层，双卧朝南两居。,870万,92989元/平米
134.42平米,中关村 北大南门 南北通透 二层,498万,87063元/平米
134.42平米,强佑·府学上院 3室2厅 南 北,939万,67336元/平米
134.42平米,农科院社区高层带电梯三居室出售,1170万,107676元/平米
134.42平米,八里庄北里优质电梯三居室等你来看,745万,76805元/平米
134.42平米,百万庄 增光路  甘家口 五矿集团家属楼 封闭管理,1030万,105815元/平米
55.2平米,单独管理，南北向2居室，业主诚心出售,495万,89674元/平米
68.81平米,西城区 西二环 广安门 二期东南向复式,438万,126847元/平米
68.81平米,金融街新文化街小区西北向中间楼层,1150万,155196元/平米
68.81平米,展览馆路 八零筑二 南北通透 中间层,625万,108132元/平米
68.81平米,业主诚心卖 能签约 教场口6号院 2003年 满五年唯一,765万,147229元/平米
68.81平米,满五唯一    90年    西南三居室,1260万,136512元/平米
134.42平米,满五唯一 高楼层 采光好 诚心出售,615万,89651元/平米
134.42平米,小区中间位置 不临街 中高楼层 全明格局 南北通透,999万,73166元/平米
134.42平米,永泰园  2003年商品房  电梯  高层   视野开阔采光好,529万,67509元/平米
134.42平米,绿谷雅园两居室 满五年唯一商品房 装修保持好,545万,51021元/平米
134.42平米,建清园正规三居室南北通透客厅朝东三面采光诚意出售,745万,82540元/平米
134.42平米,稻香园西里带电梯高板楼全明格局,820万,102245元/平米
55.2平米,二环里 东四十条桥西北角 南北向两居 诚意出售,496万,96517元/平米
55.2平米,楼龄新，电梯直达，楼龄新，客厅半落地窗,970万,105218元/平米
55.2平米,东城 东直门地铁 两居室 交通便利,540万,79553元/平米
55.2平米,化工家属院 管理好 小区绿化好  5号线和平里零距衔接,589万,117355元/平米
55.2平米,中间层总价便宜一居室 有燃气 成本少 随时签约,430万,104369元/平米
55.2平米,夕照寺西里正南正北两居室，看房方便，业主诚心出售,480万,101138元/平米
63.06平米,劲松南路满五，户型方正，电梯直达，到地铁近,370万,58675元/平米
68.81平米,车公庄 进步巷 通透三居室 满五年唯一,620万,103334元/平米
68.81平米,广安门外南街 南向两居室 没有遮挡,580万,73437元/平米
68.81平米,满五年唯一 南北通透 安静不临街 采光好,590万,106691元/平米
68.81平米,六铺炕一区两居室满五唯一单位分房  方便看房 诚售,899万,131241元/平米
68.81平米,金融街 中行家属楼 满五央产 高层采光棒视野好,1060万,119775元/平米
134.42平米,金尚嘉园1号楼南北三居室 满5年精装修 看房方便,1850万,112115元/平米
134.42平米,罗庄西里  南北通透两居室  诚意出售,550万,92593元/平米
134.42平米,阜北小区  三居室 业主城售 看房方便,565万,83089元/平米
134.42平米,西四环内正规一居 采光充足无遮挡,440万,68923元/平米
134.42平米,清河宝盛北里 钥匙房随时看 前后带阳台 满五年诚售,405万,64419元/平米
134.42平米,复兴路30号院，五棵松南向两居,492万,86331元/平米
55.2平米,新景家园东区 商品房 楼龄新 管理严格,415万,133013元/平米
55.2平米,东二环内广渠门内 南向一居室 满五年唯一  临近地铁,432万,97342元/平米
55.2平米,和平里六区 中石化管理 电梯房 南北通透 全明格局,850万,112897元/平米
55.2平米,东城广渠门 东环居苑 精装修南向一居室,528万,92648元/平米
55.2平米,大草厂 铁道部央产 全明格局 无遮挡 楼下就是公园,530万,107266元/平米
55.2平米,满五年 南北通透两居 中间楼层,603万,104092元/平米
63.06平米,兴隆家园 双阳台  精装修 西向两居 采光好,448万,57290元/平米
63.06平米,南二环边，高楼层，视野无遮挡。,280万,60358元/平米
63.06平米,北苑高层东南两居 商品房满五唯一 带租赁车位,479万,49556元/平米
63.06平米,满五年唯一 房子在小区中间位置 东向没有遮挡 采光好,288万,49130元/平米
63.06平米,茉藜园东南2居室  满五年唯一  集中供暖地暖,498万,50212元/平米
63.06平米,康静里小区、满五年唯一的商品房、可直接拎包入住,285万,49480元/平米
68.81平米,房子满五年唯一    大品牌精装修  未居住,1268万,102143元/平米
68.81平米,2000年带电梯 两套房子一个房本 适合三代人居住,1375万,116625元/平米
68.81平米,月坛 三里河 南北三居室 中间层,850万,117566元/平米
68.81平米,南礼士路公园北边，东边金融街，交通便利，格局方正,868万,103088元/平米
68.81平米,德胜门  塔院胡同 南北小三居 中楼层,769万,134441元/平米
68.81平米,远见名苑 西南三居室 正对小区花园 满五年唯一,968万,103807元/平米
55.2平米,电梯直达，精装修，诚心出售总价不高。,510万,85715元/平米
55.2平米,广渠门远洋德邑小区西南户型方正三居室,1085万,71556元/平米
55.2平米,东花市北里中区 央产房3居室 南北通透,1020万,101726元/平米
55.2平米,房子满五年，中间楼层，南北通透，明厨明卫。,770万,101597元/平米
55.2平米,东城三居室，正规大客厅，楼层好，精装修。,1266万,86659元/平米
63.06平米,双桥六号井精装修南北两居室--满五唯一--业主诚心出售,235万,39397元/平米
63.06平米,非常生活 精装两居室，南向采光好大阳台居住舒适,630万,76364元/平米
63.06平米,东西通透户型 ，明厨明卫，中间楼层，配套齐全，,375万,57916元/平米
63.06平米,甘露园南里2区 中间楼层两居 明厨明卫,360万,58834元/平米
63.06平米,甜水园北里南北两居，近朝阳公园南门，地铁六号线,370万,57840元/平米
68.81平米,冠英园小区 新街口 积水潭  电梯直达 中行家属院,1240万,113866元/平米
68.81平米,满五年唯一 六铺炕二区 东北2居 带电梯 有无障碍通道,860万,130501元/平米
68.81平米,全明格局 南北通透三居室 适合居家,810万,104517元/平米
68.81平米,满五年商品房 业主在京随时签约,1068万,125914元/平米
68.81平米,南礼士路甲62号院！中间楼层四层。不临街，无遮挡。,720万,117456元/平米
68.81平米,马甸精装修三居室 带电梯次顶层 采光视野好不临街,1008万,126316元/平米
55.2平米,新裕家园 南北通透3居室  无遮挡 楼层高 户型方正,1360万,104914元/平米
55.2平米,绿景馨园 南北通透，使用面积大，不临街，满五唯一,535万,98983元/平米
55.2平米,大方家胡同 此房满五年，带电梯 格局方正南北通风好,733万,95918元/平米
55.2平米,满五年商品房 落地窗阳台 诚心出售随时签约,560万,101084元/平米
55.2平米,民旺园南向一居室 明厨明卫 诚意出售,480万,144797元/平米
55.2平米,辛寺胡同，满两年，有土地证，产权干净，有钥匙,263万,157486元/平米
63.06平米,金蝉北里满五唯一商品房，精装修哦,320万,50323元/平米
63.06平米,正南正北 安慧里一区 电梯板楼,465万,73810元/平米
63.06平米,朝丰家园 满五唯一 全南向两居 采光好 无遮挡,329万,41981元/平米
63.06平米,传媒大学东门 精装修 中间层 小三居 满五年,288万,48657元/平米
63.06平米,满五年唯一商品房，中间楼层无遮挡,382万,62943元/平米
68.81平米,满五年唯一 安德路 西南2居 业主诚心卖 随时签约,759万,138000元/平米
68.81平米,市委 党校院内，三室一厅，电梯直达,1040万,132993元/平米
55.2平米,鼓楼外大街52号 带电梯 正规朝东一居室,518万,116720元/平米
55.2平米,东城二环边上，2009年新小区，标准1居，近公园近地铁,388万,76124元/平米
55.2平米,西香河园 南北通透两室 中间楼层,500万,95475元/平米
55.2平米,满五年唯一 精装修 带电梯 采光好 带车位,675万,104994元/平米
55.2平米,南北通透 一层两户 前后不临街 格局方正,845万,88343元/平米
55.2平米,东城区04年楼龄，东南朝向安静宜居，户型方正有车位,580万,76771元/平米
63.06平米,安慧里一区 满五唯一 把边儿户型，采光充足，视野好,410万,74832元/平米
63.06平米,远洋一方林语苑 西北向 中间楼层 一居室 户型方正,348万,52206元/平米
63.06平米,望春园 高楼层 采光好 无遮挡 诚心出售,409万,62225元/平米
63.06平米,满五年唯一，南北通透全明，98年板楼二层，近地铁,575万,59896元/平米
63.06平米,东南一居，满五唯一，无遮挡，餐客分离，正对小区花园,370万,61688元/平米
63.06平米,05年东南向精装修两居室安静花园旁3梯10户诚心出售,690万,79973元/平米
63.06平米,满五唯一 南北通透板楼  采光无挡  视野好  随时签约,385万,53310元/平米
63.06平米,远洋万和城B区，全南两居，精装修，看房、签约随时,860万,98817元/平米
63.06平米,板楼高楼层采光好+南北大客厅+楼龄新,385万,53915元/平米
63.06平米,首开熙悦尚郡 南北通透三居 中间楼层,915万,72932元/平米
63.06平米,逸翠园小三居 满五唯一 明厨明卫 高层采光,970万,75918元/平米
63.06平米,翠城馨园西南两居首付130万诚意出售河景房,309万,43430元/平米
63.06平米,首城国际D区  明厨明卫的高层两居室 可观西山,808万,90179元/平米
